Kód obce,Kód okresu,Latitude,Longitude
590312,CZ0634,49.038255,16.009555
535486,CZ0207,50.475882,14.889523
593753,CZ0647,48.936395,15.729075
554936,CZ0804,49.800422,18.047592
505005,CZ0531,49.897307,15.864730
586897,CZ0632,49.368136,15.734153
565997,CZ0424,50.373260,13.640793
593761,CZ0647,48.992037,15.883346
581283,CZ0641,49.364950,16.647855
561401,CZ0511,50.502986,14.603251
500801,CZ0712,49.528444,17.238673
550850,CZ0316,49.424993,13.881864
590321,CZ0634,49.070235,15.871431
558672,CZ0325,49.719824,13.156096
586048,CZ0645,48.946824,17.466069
586056,CZ0645,48.935609,17.530151
562998,CZ0422,50.511799,13.358172
566004,CZ0424,50.097026,13.389809
542318,CZ0721,49.442570,17.645401
561711,CZ0313,49.142295,15.096553
532380,CZ0201,49.619897,15.200036
566764,CZ0325,49.916024,13.047724
566012,CZ0424,50.406950,13.628683
595241,CZ0635,49.473174,16.185267
582841,CZ0643,49.165785,16.786216
569879,CZ0521,50.214011,15.930746
532100,CZ0203,50.209825,14.236267
595250,CZ0635,49.400584,15.908810
553450,CZ0321,49.500115,12.989366
561410,CZ0511,50.608503,14.396598
593770,CZ0647,48.999862,15.834918
557587,CZ0324,49.582303,13.540199
566021,CZ0424,50.217441,13.471313
542547,CZ0424,50.347086,13.852757
582859,CZ0643,49.055066,16.644601
525588,CZ0715,49.941116,16.928111
530964,CZ0205,49.807592,15.255286
537039,CZ0208,50.219681,15.053622
595268,CZ0635,49.482402,16.118399
595276,CZ0635,49.448740,16.093912
511633,CZ0802,49.569174,18.738514
572705,CZ0522,50.365894,15.708485
569887,CZ0521,50.203911,15.630961
592897,CZ0646,49.189126,17.014284
561428,CZ0511,50.669033,14.679426
595284,CZ0635,49.474379,16.059870
592901,CZ0646,49.214143,17.030228
547549,CZ0633,49.307781,15.015943
595292,CZ0635,49.480764,15.876542
536253,CZ0312,48.742940,14.286864
533980,CZ0205,49.778273,15.222656
576115,CZ0524,50.338561,16.225153
525804,CZ0715,50.010058,16.904438
564559,CZ020B,49.602243,14.138233
550116,CZ0315,49.096180,13.816441
599051,CZ0803,49.904426,18.357074
537527,CZ0315,49.132496,13.973287
595306,CZ0635,49.560508,16.202547
577812,CZ0533,49.599198,16.463955
500852,CZ0712,49.663112,17.287037
577821,CZ0533,49.907982,16.262964
586901,CZ0632,49.149530,15.575917
573892,CZ0523,50.312731,16.088688
506192,CZ0805,49.942415,18.128764
589292,CZ0713,49.620952,16.957654
525880,CZ0715,49.826153,16.940636
557102,CZ0724,49.090273,17.926421
585092,CZ0724,49.163201,17.636864
569178,CZ0714,49.555256,17.567886
550400,CZ0634,49.085207,15.852226
597201,CZ0801,50.243389,17.713963
564591,CZ0423,50.493264,14.150595
593788,CZ0647,48.991375,16.357739
525979,CZ0715,49.953611,16.882039
539953,CZ020B,49.655620,13.943995
566471,CZ0325,49.937892,13.575531
512532,CZ0714,49.421475,17.428459
555029,CZ0412,50.151007,13.045282
590347,CZ0634,49.320924,15.896424
571202,CZ0531,49.841414,15.704985
593796,CZ0647,48.968259,15.989159
539104,CZ020A,49.854542,14.352145
568457,CZ0631,49.667888,15.286899
592048,CZ0722,49.038744,17.814983
506214,CZ0805,49.951819,18.083690
563005,CZ0422,50.540271,13.413447
576123,CZ0524,50.213724,16.077076
584321,CZ0644,48.966776,16.814026
555835,CZ0322,49.410002,13.361712
545422,CZ0312,48.824975,14.217435
540463,CZ0324,49.533675,13.223973
573558,CZ0631,49.547150,15.447573
560758,CZ0327,49.711706,12.775276
547867,CZ0531,49.822412,16.127052
595314,CZ0643,49.400915,16.361217
568431,CZ0804,49.546979,18.152729
535508,CZ0207,50.407453,14.732498
544272,CZ0311,49.023491,14.500984
568465,CZ0631,49.791915,15.590083
548979,CZ0522,50.438962,15.654346
574783,CZ0532,50.127301,15.856639
534684,CZ0209,50.222684,14.647521
584339,CZ0644,49.028264,16.810211
552097,CZ0317,49.208048,14.643532
576131,CZ0524,50.097870,16.093365
593800,CZ0647,48.857391,16.242711
539970,CZ020B,49.735072,14.279808
552101,CZ0317,49.505132,14.613070
581356,CZ0641,49.581447,16.671585
573906,CZ0523,50.386091,16.253287
577839,CZ0533,49.741782,16.162337
545902,CZ0315,48.989939,13.659961
544281,CZ0311,48.898704,14.642367
598780,CZ0314,49.343099,14.392567
587184,CZ0632,49.164698,15.394712
535681,CZ0311,48.912174,14.519089
595322,CZ0635,49.667328,16.202654
576140,CZ0524,50.063008,16.245418
579092,CZ0525,50.509256,15.617294
532096,CZ0201,49.648835,15.018438
548821,CZ0525,50.500964,15.667313
595331,CZ0643,49.355656,16.229456
566705,CZ0324,49.622087,13.690481
542156,CZ0324,49.525208,13.302442
592064,CZ0722,49.062643,17.350953
592056,CZ0722,48.934962,17.571104
586927,CZ0632,49.404043,15.434297
544299,CZ0311,48.921882,14.434092
572632,CZ0533,49.780652,16.740556
595641,CZ0635,49.425865,16.026282
538086,CZ0209,50.178336,14.478857
549690,CZ0721,49.361618,17.564472
584347,CZ0644,48.913124,16.853168
561240,CZ0633,49.496166,15.110050
562742,CZ0313,49.189321,15.211941
509418,CZ0633,49.310234,14.947722
571229,CZ0531,49.976950,15.925435
567469,CZ0426,50.579462,13.929313
581364,CZ0641,49.425135,16.591291
535516,CZ0207,50.504204,15.022906
581372,CZ0641,49.487612,16.660076
593818,CZ0647,48.982797,15.929654
550124,CZ0315,49.089388,13.840431
535401,CZ0311,49.149418,14.646319
548006,CZ0534,50.034233,16.203069
592919,CZ0646,49.053609,16.836868
562122,CZ0314,49.448057,14.035591
589306,CZ0713,49.455207,16.889847
571237,CZ0531,49.901849,15.535529
500861,CZ0712,49.704361,16.892988
577006,CZ0514,50.640171,15.337206
573914,CZ0523,50.526878,16.365391
547581,CZ0633,49.362207,15.155899
549291,CZ0314,49.451230,14.444001
506486,CZ0412,50.409844,12.924571
593826,CZ0647,48.836967,16.288856
555045,CZ0412,50.258843,12.769752
552127,CZ0317,49.490902,14.871519
549100,CZ0522,50.465297,15.337606
570788,CZ0207,50.451452,14.910293
577014,CZ0514,50.488672,15.396332
530832,CZ0205,49.978250,15.470316
567060,CZ0425,50.543055,13.700283
567078,CZ0425,50.632110,13.390831
538094,CZ0209,50.186426,14.659344
579947,CZ0534,50.002042,16.285384
532118,CZ0203,50.189330,14.162098
549304,CZ0314,49.402569,14.339640
582875,CZ0643,49.294469,16.345762
551490,CZ0311,48.978807,14.395791
593834,CZ0643,48.962911,16.431951
554197,CZ0805,49.888057,17.882754
592927,CZ0646,49.156081,17.134911
541648,CZ0723,49.461056,17.893060
526169,CZ0715,50.153360,17.011954
541672,CZ020C,50.012981,13.843021
590363,CZ0634,49.302776,15.751924
597210,CZ0801,50.063603,17.629214
571946,CZ0207,50.507685,15.058005
532126,CZ0203,50.102133,14.100859
582883,CZ0643,49.065247,16.523184
531286,CZ0205,49.855317,15.430482
539988,CZ020B,49.740519,13.999043
537063,CZ0316,49.365361,13.842454
532142,CZ0203,50.067851,14.014265
569437,CZ0715,50.009487,16.949028
585106,CZ0724,49.222558,17.913427
547603,CZ0633,49.516554,15.001328
553107,CZ0805,49.932674,17.687641
571199,CZ020A,49.842681,14.340242
556858,CZ0804,49.757218,18.082863
538108,CZ0209,50.183633,14.588290
500101,CZ0412,50.172681,13.046575
539996,CZ020B,49.789268,13.903243
545431,CZ0312,48.929980,14.218667
574791,CZ0532,50.000688,15.557385
564613,CZ0423,50.481073,14.141967
577863,CZ0533,49.627449,16.522125
530727,CZ0715,49.894982,16.968308
566136,CZ0321,49.382698,13.049690
561444,CZ0511,50.729288,14.703495
582786,CZ0642,49.195160,16.606937
584355,CZ0644,48.875309,16.535482
541605,CZ0327,49.835396,12.741203
535559,CZ0207,50.330780,14.869280
546895,CZ0424,50.295025,13.801725
589314,CZ0713,49.548791,16.832970
589322,CZ0713,49.370064,17.090164
512800,CZ0714,49.484289,17.338354
566489,CZ0325,49.953778,13.557097
573922,CZ0523,50.585758,16.331915
541401,CZ0327,49.889478,12.606805
531081,CZ0202,49.955171,13.852368
564621,CZ0423,50.453763,14.145512
586943,CZ0632,49.307047,15.676522
590371,CZ0632,49.237281,15.624317
581381,CZ0641,49.413781,16.517076
581402,CZ0643,49.462484,16.425856
585114,CZ0724,49.092465,18.022809
584363,CZ0644,48.960895,16.896260
506320,CZ0805,50.015393,17.749685
597180,CZ0801,49.988277,17.463794
588377,CZ0721,49.363440,17.660807
598038,CZ0802,49.700196,18.222205
598046,CZ0802,49.717092,18.409749
546755,CZ0423,50.461941,14.301296
573931,CZ0523,50.444489,15.958411
586951,CZ0632,49.526068,15.727240
559725,CZ0326,49.837107,13.578439
584291,CZ0644,48.753240,16.882617
536059,CZ0311,49.022388,14.330668
574805,CZ0532,50.051994,15.577582
588385,CZ0721,49.351167,17.440825
592072,CZ0722,49.094985,17.356023
548278,CZ0631,49.631361,15.612697
595349,CZ0635,49.346399,16.091562
530018,CZ0316,49.507873,13.797583
584371,CZ0644,48.819377,16.567583
595357,CZ0635,49.343279,16.216045
564869,CZ0209,50.014766,14.699389
595365,CZ0635,49.502993,15.935697
507733,CZ0313,49.290639,14.909760
549070,CZ0522,50.434394,15.313367
577871,CZ0533,49.651038,16.619713
559733,CZ0326,49.807642,13.596901
535567,CZ0207,50.548647,15.032901
581429,CZ0643,49.282167,16.755163
582891,CZ0643,49.281698,16.749623
592935,CZ0646,49.368199,16.960939
572250,CZ0533,49.662787,16.787030
577898,CZ0533,49.690726,16.118233
552135,CZ0317,49.251874,14.514089
540013,CZ020B,49.557739,13.950734
538744,CZ0724,49.184965,17.656742
590380,CZ0634,49.172155,16.194204
535583,CZ0207,50.406292,15.005584
563013,CZ0422,50.402280,13.420942
592081,CZ0722,49.121484,17.580451
537870,CZ0412,50.197494,12.870986
560294,CZ0413,50.145752,12.643488
506451,CZ0805,49.791678,17.865664
531090,CZ0202,49.904184,13.883116
592099,CZ0722,48.922188,17.742769
585131,CZ0724,48.923332,17.741218
505145,CZ0533,49.644277,16.518096
599735,CZ020A,49.904148,14.411028
599514,CZ0207,50.470818,14.733711
595381,CZ0635,49.330018,16.238271
589331,CZ0713,49.608693,16.892539
585149,CZ0724,49.153427,17.699728
593842,CZ0647,48.870023,16.341852
541923,CZ0322,49.348864,13.617460
565041,CZ020C,50.006960,13.582896
533211,CZ0204,50.035026,15.079055
533220,CZ0204,50.093862,14.804403
597228,CZ0801,49.911767,17.371179
537047,CZ0208,50.134028,14.841845
548855,CZ0522,50.316342,15.620923
564648,CZ0423,50.360615,14.216366
566063,CZ0424,50.401253,13.721648
560308,CZ0413,50.374494,12.505287
531103,CZ0202,49.969761,14.166601
558699,CZ0325,49.885275,13.302879
579963,CZ0534,49.896972,16.192941
592943,CZ0646,49.149402,17.003981
548952,CZ0522,50.308573,15.254641
546020,CZ0313,49.087277,15.589973
595390,CZ0635,49.536470,15.912421
555894,CZ0322,49.283469,13.584770
